id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,Sunray Collective,indie pop,relaxed,0.58,104,0.78,0.69,0.45
12,Deep Waters,Echo Veil,ambient,moody,0.22,55,0.38,0.33,0.95
13,Burnout Season,Static Crowd,rock,intense,0.88,148,0.42,0.71,0.08
14,Rainy Window,Paper Lanterns,lofi,chill,0.31,70,0.62,0.55,0.88
15,Neon Jungle,Voltline,synthwave,moody,0.79,115,0.52,0.80,0.14
16,Morning Ritual,Slow Stereo,jazz,relaxed,0.41,88,0.74,0.50,0.83
17,Pulse Check,Max Pulse,pop,intense,0.90,138,0.70,0.91,0.06
18,Soft Signal,Orbit Bloom,ambient,focused,0.25,62,0.61,0.38,0.90
19,Tangerine Skies,Neon Echo,pop,happy,0.80,122,0.87,0.83,0.20
20,Late Night Pages,LoRoom,lofi,focused,0.38,76,0.57,0.63,0.80
